Tactic,Police Force,Force type - Output,Tactic - Output,ethnicity,count
*Total Firearms,South Wales,Firearms,Total: Firearms,White,94.0
*Total Other,South Wales,Other,Total: Other,White,960.0
"Dog use, of which",South Wales,Other,Total: Dog,White,94.0
Dog deployed,South Wales,Other,Dog: deployed,White,88.0
Dog bite,South Wales,Other,Dog: bite,White,6.0
Not stated dog,South Wales,Other,Dog: not stated,White,0.0
Other / improvised,South Wales,Other,Other / improvised,White,866.0
*Total Not reported,South Wales,Not reported,Total: Not reported,White,43.0
Tactical communication,South Wales,Excluded: Tactical Communication,Tactical Communication,White,9681.0
*Total Tactics,South Yorkshire,Total,Total: all,White,10034.0
*Total Restraint,South Yorkshire,Restraint,Total: Restraint,White,4275.0
"Handcuffing, of which",South Yorkshire,Restraint,Total: Handcuffing,White,3099.0
Compliant handcuffing,South Yorkshire,Restraint,Handcuffing: compliant,White,1186.0
Non-compliant handcuffing,South Yorkshire,Restraint,Handcuffing: non-compliant,White,1913.0
Not stated handcuffing,South Yorkshire,Restraint,Handcuffing: not stated,White,0.0
Limb / Body restraints,South Yorkshire,Restraint,Limb / body restraints,White,275.0
Ground restraint,South Yorkshire,Restraint,Ground restraint,White,901.0
*Total Unarmed skills,South Yorkshire,Unarmed skills,Total: unarmed skills,White,3821.0
*Total Other equipment,South Yorkshire,Other equipment,Total: Other equipment,White,727.0
"Baton, of which",South Yorkshire,Other equipment,Total: Baton,White,233.0
Baton drawn,South Yorkshire,Other equipment,Baton: drawn,White,140.0
Baton used,South Yorkshire,Other equipment,Baton: used,White,93.0
Not stated baton,South Yorkshire,Other equipment,Baton: not stated,White,0.0
"Irritant spray, of which",South Yorkshire,Other equipment,Total: Irritant spray,White,405.0
Irritant spray - drawn,South Yorkshire,Other equipment,Irritant spray: drawn,White,136.0
Irritant spray - used,South Yorkshire,Other equipment,Irritant spray: used,White,269.0
Not stated irritant spray,South Yorkshire,Other equipment,Irritant spray: not stated,White,0.0
Spit and bite guard,South Yorkshire,Other equipment,Spit and bite guard,White,83.0
Shield,South Yorkshire,Other equipment,Shield,White,6.0
*Total Less lethal weapons,South Yorkshire,Less lethal weapons,Total: Less lethal weapons,White,441.0
CED,South Yorkshire,Less lethal weapons,CED,White,438.0
"AEP, of which",South Yorkshire,Less lethal weapons,Total: AEP,White,3.0
AEP aimed,South Yorkshire,Less lethal weapons,AEP: Aimed,White,3.0
AEP fired,South Yorkshire,Less lethal weapons,AEP: Fired,White,0.0
Not stated AEP,South Yorkshire,Less lethal weapons,AEP: Not stated,White,0.0
*Total Firearms,South Yorkshire,Firearms,Total: Firearms,White,34.0
*Total Other,South Yorkshire,Other,Total: Other,White,736.0
"Dog use, of which",South Yorkshire,Other,Total: Dog,White,75.0
Dog deployed,South Yorkshire,Other,Dog: deployed,White,49.0
Dog bite,South Yorkshire,Other,Dog: bite,White,26.0
Not stated dog,South Yorkshire,Other,Dog: not stated,White,0.0
Other / improvised,South Yorkshire,Other,Other / improvised,White,661.0
*Total Not reported,South Yorkshire,Not reported,Total: Not reported,White,0.0
Tactical communication,South Yorkshire,Excluded: Tactical Communication,Tactical Communication,White,3358.0
*Total Tactics,Staffordshire,Total,Total: all,White,5264.0
*Total Restraint,Staffordshire,Restraint,Total: Restraint,White,3031.0
"Handcuffing, of which",Staffordshire,Restraint,Total: Handcuffing,White,1823.0
Compliant handcuffing,Staffordshire,Restraint,Handcuffing: compliant,White,0.0
Non-compliant handcuffing,Staffordshire,Restraint,Handcuffing: non-compliant,White,0.0
Not stated handcuffing,Staffordshire,Restraint,Handcuffing: not stated,White,1823.0
Limb / Body restraints,Staffordshire,Restraint,Limb / body restraints,White,243.0
Ground restraint,Staffordshire,Restraint,Ground restraint,White,965.0
*Total Unarmed skills,Staffordshire,Unarmed skills,Total: unarmed skills,White,1486.0
*Total Other equipment,Staffordshire,Other equipment,Total: Other equipment,White,547.0
"Baton, of which",Staffordshire,Other equipment,Total: Baton,White,94.0
Baton drawn,Staffordshire,Other equipment,Baton: drawn,White,52.0
Baton used,Staffordshire,Other equipment,Baton: used,White,42.0
Not stated baton,Staffordshire,Other equipment,Baton: not stated,White,0.0
"Irritant spray, of which",Staffordshire,Other equipment,Total: Irritant spray,White,365.0
Irritant spray - drawn,Staffordshire,Other equipment,Irritant spray: drawn,White,181.0
Irritant spray - used,Staffordshire,Other equipment,Irritant spray: used,White,184.0
Not stated irritant spray,Staffordshire,Other equipment,Irritant spray: not stated,White,0.0
Spit and bite guard,Staffordshire,Other equipment,Spit and bite guard,White,70.0
Shield,Staffordshire,Other equipment,Shield,White,18.0
*Total Less lethal weapons,Staffordshire,Less lethal weapons,Total: Less lethal weapons,White,29.0
CED,Staffordshire,Less lethal weapons,CED,White,0.0
"AEP, of which",Staffordshire,Less lethal weapons,Total: AEP,White,29.0
AEP aimed,Staffordshire,Less lethal weapons,AEP: Aimed,White,28.0
AEP fired,Staffordshire,Less lethal weapons,AEP: Fired,White,1.0
Not stated AEP,Staffordshire,Less lethal weapons,AEP: Not stated,White,0.0
*Total Firearms,Staffordshire,Firearms,Total: Firearms,White,17.0
*Total Other,Staffordshire,Other,Total: Other,White,154.0
"Dog use, of which",Staffordshire,Other,Total: Dog,White,63.0
Dog deployed,Staffordshire,Other,Dog: deployed,White,52.0
Dog bite,Staffordshire,Other,Dog: bite,White,11.0
Not stated dog,Staffordshire,Other,Dog: not stated,White,0.0
Other / improvised,Staffordshire,Other,Other / improvised,White,91.0
*Total Not reported,Staffordshire,Not reported,Total: Not reported,White,3.0
Tactical communication,Staffordshire,Excluded: Tactical Communication,Tactical Communication,White,2259.0
*Total Tactics,Suffolk,Total,Total: all,White,3922.0
*Total Restraint,Suffolk,Restraint,Total: Restraint,White,2372.0
"Handcuffing, of which",Suffolk,Restraint,Total: Handcuffing,White,1946.0
Compliant handcuffing,Suffolk,Restraint,Handcuffing: compliant,White,1003.0
Non-compliant handcuffing,Suffolk,Restraint,Handcuffing: non-compliant,White,943.0
Not stated handcuffing,Suffolk,Restraint,Handcuffing: not stated,White,0.0
Limb / Body restraints,Suffolk,Restraint,Limb / body restraints,White,194.0
Ground restraint,Suffolk,Restraint,Ground restraint,White,232.0
*Total Unarmed skills,Suffolk,Unarmed skills,Total: unarmed skills,White,667.0
*Total Other equipment,Suffolk,Other equipment,Total: Other equipment,White,261.0
"Baton, of which",Suffolk,Other equipment,Total: Baton,White,12.0
Baton drawn,Suffolk,Other equipment,Baton: drawn,White,7.0
Baton used,Suffolk,Other equipment,Baton: used,White,5.0
Not stated baton,Suffolk,Other equipment,Baton: not stated,White,0.0
"Irritant spray, of which",Suffolk,Other equipment,Total: Irritant spray,White,201.0
Irritant spray - drawn,Suffolk,Other equipment,Irritant spray: drawn,White,88.0
Irritant spray - used,Suffolk,Other equipment,Irritant spray: used,White,113.0
Not stated irritant spray,Suffolk,Other equipment,Irritant spray: not stated,White,0.0
Spit and bite guard,Suffolk,Other equipment,Spit and bite guard,White,47.0
Shield,Suffolk,Other equipment,Shield,White,1.0
*Total Less lethal weapons,Suffolk,Less lethal weapons,Total: Less lethal weapons,White,18.0
CED,Suffolk,Less lethal weapons,CED,White,0.0
"AEP, of which",Suffolk,Less lethal weapons,Total: AEP,White,18.0
AEP aimed,Suffolk,Less lethal weapons,AEP: Aimed,White,18.0
AEP fired,Suffolk,Less lethal weapons,AEP: Fired,White,0.0
Not stated AEP,Suffolk,Less lethal weapons,AEP: Not stated,White,0.0
*Total Firearms,Suffolk,Firearms,Total: Firearms,White,23.0
*Total Other,Suffolk,Other,Total: Other,White,581.0
"Dog use, of which",Suffolk,Other,Total: Dog,White,18.0
Dog deployed,Suffolk,Other,Dog: deployed,White,6.0
Dog bite,Suffolk,Other,Dog: bite,White,12.0
Not stated dog,Suffolk,Other,Dog: not stated,White,0.0
Other / improvised,Suffolk,Other,Other / improvised,White,563.0
*Total Not reported,Suffolk,Not reported,Total: Not reported,White,48.0
Tactical communication,Suffolk,Excluded: Tactical Communication,Tactical Communication,White,1532.0
*Total Tactics,Surrey,Total,Total: all,White,6903.0
*Total Restraint,Surrey,Restraint,Total: Restraint,White,4537.0
"Handcuffing, of which",Surrey,Restraint,Total: Handcuffing,White,2288.0
Compliant handcuffing,Surrey,Restraint,Handcuffing: compliant,White,1853.0
Non-compliant handcuffing,Surrey,Restraint,Handcuffing: non-compliant,White,435.0
Not stated handcuffing,Surrey,Restraint,Handcuffing: not stated,White,0.0
Limb / Body restraints,Surrey,Restraint,Limb / body restraints,White,1202.0
Ground restraint,Surrey,Restraint,Ground restraint,White,1047.0
*Total Unarmed skills,Surrey,Unarmed skills,Total: unarmed skills,White,757.0
*Total Other equipment,Surrey,Other equipment,Total: Other equipment,White,320.0
"Baton, of which",Surrey,Other equipment,Total: Baton,White,54.0
Baton drawn,Surrey,Other equipment,Baton: drawn,White,7.0
Baton used,Surrey,Other equipment,Baton: used,White,47.0
Not stated baton,Surrey,Other equipment,Baton: not stated,White,0.0
"Irritant spray, of which",Surrey,Other equipment,Total: Irritant spray,White,166.0
Irritant spray - drawn,Surrey,Other equipment,Irritant spray: drawn,White,83.0
Irritant spray - used,Surrey,Other equipment,Irritant spray: used,White,83.0
Not stated irritant spray,Surrey,Other equipment,Irritant spray: not stated,White,0.0
Spit and bite guard,Surrey,Other equipment,Spit and bite guard,White,95.0
Shield,Surrey,Other equipment,Shield,White,5.0
*Total Less lethal weapons,Surrey,Less lethal weapons,Total: Less lethal weapons,White,212.0
CED,Surrey,Less lethal weapons,CED,White,210.0
"AEP, of which",Surrey,Less lethal weapons,Total: AEP,White,2.0
AEP aimed,Surrey,Less lethal weapons,AEP: Aimed,White,2.0
AEP fired,Surrey,Less lethal weapons,AEP: Fired,White,0.0
Not stated AEP,Surrey,Less lethal weapons,AEP: Not stated,White,0.0
*Total Firearms,Surrey,Firearms,Total: Firearms,White,55.0
*Total Other,Surrey,Other,Total: Other,White,1022.0
"Dog use, of which",Surrey,Other,Total: Dog,White,9.0
Dog deployed,Surrey,Other,Dog: deployed,White,7.0
Dog bite,Surrey,Other,Dog: bite,White,2.0
Not stated dog,Surrey,Other,Dog: not stated,White,0.0
Other / improvised,Surrey,Other,Other / improvised,White,1013.0
*Total Not reported,Surrey,Not reported,Total: Not reported,White,0.0
Tactical communication,Surrey,Excluded: Tactical Communication,Tactical Communication,White,843.0
*Total Tactics,Sussex,Total,Total: all,White,10375.0
*Total Restraint,Sussex,Restraint,Total: Restraint,White,5644.0
"Handcuffing, of which",Sussex,Restraint,Total: Handcuffing,White,3502.0
Compliant handcuffing,Sussex,Restraint,Handcuffing: compliant,White,0.0
Non-compliant handcuffing,Sussex,Restraint,Handcuffing: non-compliant,White,0.0
Not stated handcuffing,Sussex,Restraint,Handcuffing: not stated,White,3502.0
Limb / Body restraints,Sussex,Restraint,Limb / body restraints,White,1075.0
Ground restraint,Sussex,Restraint,Ground restraint,White,1067.0
*Total Unarmed skills,Sussex,Unarmed skills,Total: unarmed skills,White,3751.0
*Total Other equipment,Sussex,Other equipment,Total: Other equipment,White,444.0
"Baton, of which",Sussex,Other equipment,Total: Baton,White,91.0
Baton drawn,Sussex,Other equipment,Baton: drawn,White,35.0
Baton used,Sussex,Other equipment,Baton: used,White,26.0
Not stated baton,Sussex,Other equipment,Baton: not stated,White,30.0
"Irritant spray, of which",Sussex,Other equipment,Total: Irritant spray,White,299.0
Irritant spray - drawn,Sussex,Other equipment,Irritant spray: drawn,White,98.0
Irritant spray - used,Sussex,Other equipment,Irritant spray: used,White,100.0
Not stated irritant spray,Sussex,Other equipment,Irritant spray: not stated,White,101.0
Spit and bite guard,Sussex,Other equipment,Spit and bite guard,White,47.0
Shield,Sussex,Other equipment,Shield,White,7.0
*Total Less lethal weapons,Sussex,Less lethal weapons,Total: Less lethal weapons,White,185.0
CED,Sussex,Less lethal weapons,CED,White,183.0
"AEP, of which",Sussex,Less lethal weapons,Total: AEP,White,2.0
AEP aimed,Sussex,Less lethal weapons,AEP: Aimed,White,2.0
AEP fired,Sussex,Less lethal weapons,AEP: Fired,White,0.0
Not stated AEP,Sussex,Less lethal weapons,AEP: Not stated,White,0.0
*Total Firearms,Sussex,Firearms,Total: Firearms,White,41.0
*Total Other,Sussex,Other,Total: Other,White,310.0
"Dog use, of which",Sussex,Other,Total: Dog,White,34.0
Dog deployed,Sussex,Other,Dog: deployed,White,19.0
Dog bite,Sussex,Other,Dog: bite,White,4.0
Not stated dog,Sussex,Other,Dog: not stated,White,11.0
Other / improvised,Sussex,Other,Other / improvised,White,276.0
*Total Not reported,Sussex,Not reported,Total: Not reported,White,44.0
Tactical communication,Sussex,Excluded: Tactical Communication,Tactical Communication,White,1749.0
*Total Tactics,Thames Valley,Total,Total: all,White,20842.0
*Total Restraint,Thames Valley,Restraint,Total: Restraint,White,12801.0
"Handcuffing, of which",Thames Valley,Restraint,Total: Handcuffing,White,8191.0
Compliant handcuffing,Thames Valley,Restraint,Handcuffing: compliant,White,3376.0
Non-compliant handcuffing,Thames Valley,Restraint,Handcuffing: non-compliant,White,4584.0
Not stated handcuffing,Thames Valley,Restraint,Handcuffing: not stated,White,231.0
Limb / Body restraints,Thames Valley,Restraint,Limb / body restraints,White,797.0
Ground restraint,Thames Valley,Restraint,Ground restraint,White,3813.0
*Total Unarmed skills,Thames Valley,Unarmed skills,Total: unarmed skills,White,5757.0
*Total Other equipment,Thames Valley,Other equipment,Total: Other equipment,White,1149.0
"Baton, of which",Thames Valley,Other equipment,Total: Baton,White,215.0
Baton drawn,Thames Valley,Other equipment,Baton: drawn,White,74.0
Baton used,Thames Valley,Other equipment,Baton: used,White,85.0
Not stated baton,Thames Valley,Other equipment,Baton: not stated,White,56.0
"Irritant spray, of which",Thames Valley,Other equipment,Total: Irritant spray,White,681.0
Irritant spray - drawn,Thames Valley,Other equipment,Irritant spray: drawn,White,236.0
Irritant spray - used,Thames Valley,Other equipment,Irritant spray: used,White,445.0
Not stated irritant spray,Thames Valley,Other equipment,Irritant spray: not stated,White,0.0
Spit and bite guard,Thames Valley,Other equipment,Spit and bite guard,White,219.0
Shield,Thames Valley,Other equipment,Shield,White,34.0
*Total Less lethal weapons,Thames Valley,Less lethal weapons,Total: Less lethal weapons,White,543.0
CED,Thames Valley,Less lethal weapons,CED,White,534.0
"AEP, of which",Thames Valley,Less lethal weapons,Total: AEP,White,9.0
AEP aimed,Thames Valley,Less lethal weapons,AEP: Aimed,White,7.0
AEP fired,Thames Valley,Less lethal weapons,AEP: Fired,White,1.0
Not stated AEP,Thames Valley,Less lethal weapons,AEP: Not stated,White,1.0
*Total Firearms,Thames Valley,Firearms,Total: Firearms,White,45.0
*Total Other,Thames Valley,Other,Total: Other,White,547.0
"Dog use, of which",Thames Valley,Other,Total: Dog,White,64.0
Dog deployed,Thames Valley,Other,Dog: deployed,White,44.0
Dog bite,Thames Valley,Other,Dog: bite,White,19.0
Not stated dog,Thames Valley,Other,Dog: not stated,White,1.0
Other / improvised,Thames Valley,Other,Other / improvised,White,483.0
*Total Not reported,Thames Valley,Not reported,Total: Not reported,White,0.0
Tactical communication,Thames Valley,Excluded: Tactical Communication,Tactical Communication,White,10255.0
*Total Tactics,Warwickshire,Total,Total: all,White,2151.0
*Total Restraint,Warwickshire,Restraint,Total: Restraint,White,1198.0
"Handcuffing, of which",Warwickshire,Restraint,Total: Handcuffing,White,880.0
Compliant handcuffing,Warwickshire,Restraint,Handcuffing: compliant,White,378.0
Non-compliant handcuffing,Warwickshire,Restraint,Handcuffing: non-compliant,White,502.0
Not stated handcuffing,Warwickshire,Restraint,Handcuffing: not stated,White,0.0
Limb / Body restraints,Warwickshire,Restraint,Limb / body restraints,White,33.0
Ground restraint,Warwickshire,Restraint,Ground restraint,White,285.0
*Total Unarmed skills,Warwickshire,Unarmed skills,Total: unarmed skills,White,468.0
*Total Other equipment,Warwickshire,Other equipment,Total: Other equipment,White,175.0
"Baton, of which",Warwickshire,Other equipment,Total: Baton,White,31.0
Baton drawn,Warwickshire,Other equipment,Baton: drawn,White,20.0
Baton used,Warwickshire,Other equipment,Baton: used,White,11.0
Not stated baton,Warwickshire,Other equipment,Baton: not stated,White,0.0
"Irritant spray, of which",Warwickshire,Other equipment,Total: Irritant spray,White,103.0
Irritant spray - drawn,Warwickshire,Other equipment,Irritant spray: drawn,White,43.0
Irritant spray - used,Warwickshire,Other equipment,Irritant spray: used,White,60.0
Not stated irritant spray,Warwickshire,Other equipment,Irritant spray: not stated,White,0.0
Spit and bite guard,Warwickshire,Other equipment,Spit and bite guard,White,36.0
Shield,Warwickshire,Other equipment,Shield,White,5.0
*Total Less lethal weapons,Warwickshire,Less lethal weapons,Total: Less lethal weapons,White,1.0
CED,Warwickshire,Less lethal weapons,CED,White,0.0
"AEP, of which",Warwickshire,Less lethal weapons,Total: AEP,White,1.0
AEP aimed,Warwickshire,Less lethal weapons,AEP: Aimed,White,0.0
AEP fired,Warwickshire,Less lethal weapons,AEP: Fired,White,1.0
Not stated AEP,Warwickshire,Less lethal weapons,AEP: Not stated,White,0.0
*Total Firearms,Warwickshire,Firearms,Total: Firearms,White,51.0
*Total Other,Warwickshire,Other,Total: Other,White,258.0
"Dog use, of which",Warwickshire,Other,Total: Dog,White,26.0
Dog deployed,Warwickshire,Other,Dog: deployed,White,24.0
Dog bite,Warwickshire,Other,Dog: bite,White,2.0
Not stated dog,Warwickshire,Other,Dog: not stated,White,0.0
Other / improvised,Warwickshire,Other,Other / improvised,White,232.0
*Total Not reported,Warwickshire,Not reported,Total: Not reported,White,49.0
Tactical communication,Warwickshire,Excluded: Tactical Communication,Tactical Communication,White,414.0
*Total Tactics,West Mercia,Total,Total: all,White,10077.0
*Total Restraint,West Mercia,Restraint,Total: Restraint,White,5460.0
"Handcuffing, of which",West Mercia,Restraint,Total: Handcuffing,White,3659.0
Compliant handcuffing,West Mercia,Restraint,Handcuffing: compliant,White,1587.0
Non-compliant handcuffing,West Mercia,Restraint,Handcuffing: non-compliant,White,2072.0
Not stated handcuffing,West Mercia,Restraint,Handcuffing: not stated,White,0.0
Limb / Body restraints,West Mercia,Restraint,Limb / body restraints,White,217.0
Ground restraint,West Mercia,Restraint,Ground restraint,White,1584.0
*Total Unarmed skills,West Mercia,Unarmed skills,Total: unarmed skills,White,2420.0
*Total Other equipment,West Mercia,Other equipment,Total: Other equipment,White,661.0
"Baton, of which",West Mercia,Other equipment,Total: Baton,White,118.0
Baton drawn,West Mercia,Other equipment,Baton: drawn,White,68.0
Baton used,West Mercia,Other equipment,Baton: used,White,50.0
Not stated baton,West Mercia,Other equipment,Baton: not stated,White,0.0
"Irritant spray, of which",West Mercia,Other equipment,Total: Irritant spray,White,378.0
Irritant spray - drawn,West Mercia,Other equipment,Irritant spray: drawn,White,177.0
Irritant spray - used,West Mercia,Other equipment,Irritant spray: used,White,201.0
Not stated irritant spray,West Mercia,Other equipment,Irritant spray: not stated,White,0.0
Spit and bite guard,West Mercia,Other equipment,Spit and bite guard,White,144.0
Shield,West Mercia,Other equipment,Shield,White,21.0
*Total Less lethal weapons,West Mercia,Less lethal weapons,Total: Less lethal weapons,White,7.0
CED,West Mercia,Less lethal weapons,CED,White,0.0
"AEP, of which",West Mercia,Less lethal weapons,Total: AEP,White,7.0
AEP aimed,West Mercia,Less lethal weapons,AEP: Aimed,White,7.0
AEP fired,West Mercia,Less lethal weapons,AEP: Fired,White,0.0
Not stated AEP,West Mercia,Less lethal weapons,AEP: Not stated,White,0.0
*Total Firearms,West Mercia,Firearms,Total: Firearms,White,109.0
*Total Other,West Mercia,Other,Total: Other,White,1420.0
"Dog use, of which",West Mercia,Other,Total: Dog,White,127.0
Dog deployed,West Mercia,Other,Dog: deployed,White,111.0
Dog bite,West Mercia,Other,Dog: bite,White,16.0
Not stated dog,West Mercia,Other,Dog: not stated,White,0.0
Other / improvised,West Mercia,Other,Other / improvised,White,1293.0
*Total Not reported,West Mercia,Not reported,Total: Not reported,White,124.0
Tactical communication,West Mercia,Excluded: Tactical Communication,Tactical Communication,White,1889.0
*Total Tactics,West Midlands,Total,Total: all,White,7379.0
*Total Restraint,West Midlands,Restraint,Total: Restraint,White,3153.0
"Handcuffing, of which",West Midlands,Restraint,Total: Handcuffing,White,1804.0
Compliant handcuffing,West Midlands,Restraint,Handcuffing: compliant,White,0.0
Non-compliant handcuffing,West Midlands,Restraint,Handcuffing: non-compliant,White,1804.0
Not stated handcuffing,West Midlands,Restraint,Handcuffing: not stated,White,0.0
Limb / Body restraints,West Midlands,Restraint,Limb / body restraints,White,381.0
Ground restraint,West Midlands,Restraint,Ground restraint,White,968.0
*Total Unarmed skills,West Midlands,Unarmed skills,Total: unarmed skills,White,2372.0
*Total Other equipment,West Midlands,Other equipment,Total: Other equipment,White,820.0
"Baton, of which",West Midlands,Other equipment,Total: Baton,White,159.0
Baton drawn,West Midlands,Other equipment,Baton: drawn,White,0.0
Baton used,West Midlands,Other equipment,Baton: used,White,159.0
Not stated baton,West Midlands,Other equipment,Baton: not stated,White,0.0
"Irritant spray, of which",West Midlands,Other equipment,Total: Irritant spray,White,488.0
Irritant spray - drawn,West Midlands,Other equipment,Irritant spray: drawn,White,0.0
Irritant spray - used,West Midlands,Other equipment,Irritant spray: used,White,488.0
Not stated irritant spray,West Midlands,Other equipment,Irritant spray: not stated,White,0.0
Spit and bite guard,West Midlands,Other equipment,Spit and bite guard,White,160.0
Shield,West Midlands,Other equipment,Shield,White,13.0
*Total Less lethal weapons,West Midlands,Less lethal weapons,Total: Less lethal weapons,White,406.0
CED,West Midlands,Less lethal weapons,CED,White,390.0
"AEP, of which",West Midlands,Less lethal weapons,Total: AEP,White,16.0
AEP aimed,West Midlands,Less lethal weapons,AEP: Aimed,White,15.0
AEP fired,West Midlands,Less lethal weapons,AEP: Fired,White,1.0
Not stated AEP,West Midlands,Less lethal weapons,AEP: Not stated,White,0.0
*Total Firearms,West Midlands,Firearms,Total: Firearms,White,199.0
*Total Other,West Midlands,Other,Total: Other,White,429.0
"Dog use, of which",West Midlands,Other,Total: Dog,White,67.0
Dog deployed,West Midlands,Other,Dog: deployed,White,0.0
Dog bite,West Midlands,Other,Dog: bite,White,67.0
Not stated dog,West Midlands,Other,Dog: not stated,White,0.0
Other / improvised,West Midlands,Other,Other / improvised,White,362.0
*Total Not reported,West Midlands,Not reported,Total: Not reported,White,0.0
Tactical communication,West Midlands,Excluded: Tactical Communication,Tactical Communication,White,0.0
*Total Tactics,West Yorkshire,Total,Total: all,White,16654.0
*Total Restraint,West Yorkshire,Restraint,Total: Restraint,White,9748.0
"Handcuffing, of which",West Yorkshire,Restraint,Total: Handcuffing,White,8659.0
Compliant handcuffing,West Yorkshire,Restraint,Handcuffing: compliant,White,5187.0
Non-compliant handcuffing,West Yorkshire,Restraint,Handcuffing: non-compliant,White,3472.0
Not stated handcuffing,West Yorkshire,Restraint,Handcuffing: not stated,White,0.0
Limb / Body restraints,West Yorkshire,Restraint,Limb / body restraints,White,539.0
Ground restraint,West Yorkshire,Restraint,Ground restraint,White,550.0
*Total Unarmed skills,West Yorkshire,Unarmed skills,Total: unarmed skills,White,4644.0
*Total Other equipment,West Yorkshire,Other equipment,Total: Other equipment,White,1279.0
"Baton, of which",West Yorkshire,Other equipment,Total: Baton,White,129.0
Baton drawn,West Yorkshire,Other equipment,Baton: drawn,White,77.0
Baton used,West Yorkshire,Other equipment,Baton: used,White,52.0
Not stated baton,West Yorkshire,Other equipment,Baton: not stated,White,0.0
"Irritant spray, of which",West Yorkshire,Other equipment,Total: Irritant spray,White,919.0
Irritant spray - drawn,West Yorkshire,Other equipment,Irritant spray: drawn,White,340.0
Irritant spray - used,West Yorkshire,Other equipment,Irritant spray: used,White,579.0
Not stated irritant spray,West Yorkshire,Other equipment,Irritant spray: not stated,White,0.0
Spit and bite guard,West Yorkshire,Other equipment,Spit and bite guard,White,212.0
Shield,West Yorkshire,Other equipment,Shield,White,19.0
*Total Less lethal weapons,West Yorkshire,Less lethal weapons,Total: Less lethal weapons,White,603.0
CED,West Yorkshire,Less lethal weapons,CED,White,580.0
"AEP, of which",West Yorkshire,Less lethal weapons,Total: AEP,White,23.0
AEP aimed,West Yorkshire,Less lethal weapons,AEP: Aimed,White,23.0
AEP fired,West Yorkshire,Less lethal weapons,AEP: Fired,White,0.0
Not stated AEP,West Yorkshire,Less lethal weapons,AEP: Not stated,White,0.0
*Total Firearms,West Yorkshire,Firearms,Total: Firearms,White,159.0
*Total Other,West Yorkshire,Other,Total: Other,White,221.0
"Dog use, of which",West Yorkshire,Other,Total: Dog,White,38.0
Dog deployed,West Yorkshire,Other,Dog: deployed,White,34.0
Dog bite,West Yorkshire,Other,Dog: bite,White,4.0
Not stated dog,West Yorkshire,Other,Dog: not stated,White,0.0
Other / improvised,West Yorkshire,Other,Other / improvised,White,183.0
*Total Not reported,West Yorkshire,Not reported,Total: Not reported,White,0.0
Tactical communication,West Yorkshire,Excluded: Tactical Communication,Tactical Communication,White,7715.0
*Total Tactics,Wiltshire,Total,Total: all,White,2066.0
*Total Restraint,Wiltshire,Restraint,Total: Restraint,White,1103.0
"Handcuffing, of which",Wiltshire,Restraint,Total: Handcuffing,White,835.0
Compliant handcuffing,Wiltshire,Restraint,Handcuffing: compliant,White,345.0
Non-compliant handcuffing,Wiltshire,Restraint,Handcuffing: non-compliant,White,230.0
Not stated handcuffing,Wiltshire,Restraint,Handcuffing: not stated,White,260.0
Limb / Body restraints,Wiltshire,Restraint,Limb / body restraints,White,74.0
Ground restraint,Wiltshire,Restraint,Ground restraint,White,194.0
*Total Unarmed skills,Wiltshire,Unarmed skills,Total: unarmed skills,White,573.0
*Total Other equipment,Wiltshire,Other equipment,Total: Other equipment,White,85.0
"Baton, of which",Wiltshire,Other equipment,Total: Baton,White,27.0
Baton drawn,Wiltshire,Other equipment,Baton: drawn,White,9.0
Baton used,Wiltshire,Other equipment,Baton: used,White,15.0
Not stated baton,Wiltshire,Other equipment,Baton: not stated,White,3.0
"Irritant spray, of which",Wiltshire,Other equipment,Total: Irritant spray,White,54.0
Irritant spray - drawn,Wiltshire,Other equipment,Irritant spray: drawn,White,11.0
Irritant spray - used,Wiltshire,Other equipment,Irritant spray: used,White,32.0
Not stated irritant spray,Wiltshire,Other equipment,Irritant spray: not stated,White,11.0
Spit and bite guard,Wiltshire,Other equipment,Spit and bite guard,White,3.0
Shield,Wiltshire,Other equipment,Shield,White,1.0
*Total Less lethal weapons,Wiltshire,Less lethal weapons,Total: Less lethal weapons,White,240.0
CED,Wiltshire,Less lethal weapons,CED,White,239.0
"AEP, of which",Wiltshire,Less lethal weapons,Total: AEP,White,1.0
AEP aimed,Wiltshire,Less lethal weapons,AEP: Aimed,White,1.0
AEP fired,Wiltshire,Less lethal weapons,AEP: Fired,White,0.0
Not stated AEP,Wiltshire,Less lethal weapons,AEP: Not stated,White,0.0
*Total Firearms,Wiltshire,Firearms,Total: Firearms,White,2.0
*Total Other,Wiltshire,Other,Total: Other,White,63.0
"Dog use, of which",Wiltshire,Other,Total: Dog,White,5.0
Dog deployed,Wiltshire,Other,Dog: deployed,White,1.0
Dog bite,Wiltshire,Other,Dog: bite,White,3.0
Not stated dog,Wiltshire,Other,Dog: not stated,White,1.0
Other / improvised,Wiltshire,Other,Other / improvised,White,58.0
*Total Not reported,Wiltshire,Not reported,Total: Not reported,White,46.0
Tactical communication,Wiltshire,Excluded: Tactical Communication,Tactical Communication,White,442.0
*Total Tactics,Total England and Wales,Total,Total: all,Black (or Black British),94222.0
*Total Restraint,Total England and Wales,Restraint,Total: Restraint,Black (or Black British),62608.0
"Handcuffing, of which",Total England and Wales,Restraint,Total: Handcuffing,Black (or Black British),49195.0
