Tactic,Police Force,Force type - Output,Tactic - Output,ethnicity,count
Non-compliant handcuffing,Bedfordshire,Restraint,Handcuffing: non-compliant,White,561.0
Not stated handcuffing,Bedfordshire,Restraint,Handcuffing: not stated,White,0.0
Limb / Body restraints,Bedfordshire,Restraint,Limb / body restraints,White,221.0
Ground restraint,Bedfordshire,Restraint,Ground restraint,White,385.0
*Total Unarmed skills,Bedfordshire,Unarmed skills,Total: unarmed skills,White,915.0
*Total Other equipment,Bedfordshire,Other equipment,Total: Other equipment,White,193.0
"Baton, of which",Bedfordshire,Other equipment,Total: Baton,White,33.0
Baton drawn,Bedfordshire,Other equipment,Baton: drawn,White,23.0
Baton used,Bedfordshire,Other equipment,Baton: used,White,10.0
Not stated baton,Bedfordshire,Other equipment,Baton: not stated,White,0.0
"Irritant spray, of which",Bedfordshire,Other equipment,Total: Irritant spray,White,104.0
Irritant spray - drawn,Bedfordshire,Other equipment,Irritant spray: drawn,White,61.0
Irritant spray - used,Bedfordshire,Other equipment,Irritant spray: used,White,43.0
Not stated irritant spray,Bedfordshire,Other equipment,Irritant spray: not stated,White,0.0
Spit and bite guard,Bedfordshire,Other equipment,Spit and bite guard,White,49.0
Shield,Bedfordshire,Other equipment,Shield,White,7.0
*Total Less lethal weapons,Bedfordshire,Less lethal weapons,Total: Less lethal weapons,White,138.0
CED,Bedfordshire,Less lethal weapons,CED,White,134.0
"AEP, of which",Bedfordshire,Less lethal weapons,Total: AEP,White,4.0
AEP aimed,Bedfordshire,Less lethal weapons,AEP: Aimed,White,3.0
AEP fired,Bedfordshire,Less lethal weapons,AEP: Fired,White,0.0
Not stated AEP,Bedfordshire,Less lethal weapons,AEP: Not stated,White,1.0
*Total Firearms,Bedfordshire,Firearms,Total: Firearms,White,17.0
*Total Other,Bedfordshire,Other,Total: Other,White,101.0
"Dog use, of which",Bedfordshire,Other,Total: Dog,White,11.0
Dog deployed,Bedfordshire,Other,Dog: deployed,White,6.0
Dog bite,Bedfordshire,Other,Dog: bite,White,5.0
Not stated dog,Bedfordshire,Other,Dog: not stated,White,0.0
Other / improvised,Bedfordshire,Other,Other / improvised,White,90.0
*Total Not reported,Bedfordshire,Not reported,Total: Not reported,White,10.0
Tactical communication,Bedfordshire,Excluded: Tactical Communication,Tactical Communication,White,1726.0
*Total Tactics,Cambridgeshire,Total,Total: all,White,6126.0
*Total Restraint,Cambridgeshire,Restraint,Total: Restraint,White,3158.0
"Handcuffing, of which",Cambridgeshire,Restraint,Total: Handcuffing,White,2166.0
Compliant handcuffing,Cambridgeshire,Restraint,Handcuffing: compliant,White,985.0
Non-compliant handcuffing,Cambridgeshire,Restraint,Handcuffing: non-compliant,White,1181.0
Not stated handcuffing,Cambridgeshire,Restraint,Handcuffing: not stated,White,0.0
Limb / Body restraints,Cambridgeshire,Restraint,Limb / body restraints,White,368.0
Ground restraint,Cambridgeshire,Restraint,Ground restraint,White,624.0
*Total Unarmed skills,Cambridgeshire,Unarmed skills,Total: unarmed skills,White,1880.0
*Total Other equipment,Cambridgeshire,Other equipment,Total: Other equipment,White,539.0
"Baton, of which",Cambridgeshire,Other equipment,Total: Baton,White,40.0
Baton drawn,Cambridgeshire,Other equipment,Baton: drawn,White,28.0
Baton used,Cambridgeshire,Other equipment,Baton: used,White,12.0
Not stated baton,Cambridgeshire,Other equipment,Baton: not stated,White,0.0
"Irritant spray, of which",Cambridgeshire,Other equipment,Total: Irritant spray,White,367.0
Irritant spray - drawn,Cambridgeshire,Other equipment,Irritant spray: drawn,White,233.0
Irritant spray - used,Cambridgeshire,Other equipment,Irritant spray: used,White,134.0
Not stated irritant spray,Cambridgeshire,Other equipment,Irritant spray: not stated,White,0.0
Spit and bite guard,Cambridgeshire,Other equipment,Spit and bite guard,White,97.0
Shield,Cambridgeshire,Other equipment,Shield,White,35.0
*Total Less lethal weapons,Cambridgeshire,Less lethal weapons,Total: Less lethal weapons,White,162.0
CED,Cambridgeshire,Less lethal weapons,CED,White,157.0
"AEP, of which",Cambridgeshire,Less lethal weapons,Total: AEP,White,5.0
AEP aimed,Cambridgeshire,Less lethal weapons,AEP: Aimed,White,3.0
AEP fired,Cambridgeshire,Less lethal weapons,AEP: Fired,White,0.0
Not stated AEP,Cambridgeshire,Less lethal weapons,AEP: Not stated,White,2.0
*Total Firearms,Cambridgeshire,Firearms,Total: Firearms,White,15.0
*Total Other,Cambridgeshire,Other,Total: Other,White,372.0
"Dog use, of which",Cambridgeshire,Other,Total: Dog,White,4.0
Dog deployed,Cambridgeshire,Other,Dog: deployed,White,3.0
