Region,Police Force,Total
England and Wales,Total England and Wales,427725.0
North East,Total North East ,32766.0
North East,Cleveland,9274.0
North East,Durham,6850.0
North East,Northumbria,16642.0
North West,Total North West ,31876.0
North West,Cheshire,8212.0
North West,Cumbria,4309.0
North West,Greater Manchester,6171.0
North West,Lancashire,7711.0
North West,Merseyside,5473.0
Yorkshire and the Humber,Total Yorkshire and the Humber ,29453.0
Yorkshire and the Humber,Humberside,4496.0
Yorkshire and the Humber,North Yorkshire,3058.0
Yorkshire and the Humber,South Yorkshire,6619.0
Yorkshire and the Humber,West Yorkshire,15280.0
East Midlands,Total East Midlands ,28088.0
East Midlands,Derbyshire,3718.0
East Midlands,Leicestershire,8098.0
East Midlands,Lincolnshire,3765.0
East Midlands,Northamptonshire,7573.0
East Midlands,Nottinghamshire,4934.0
West Midlands,Total West Midlands ,19669.0
West Midlands,Staffordshire,3084.0
West Midlands,Warwickshire,1586.0
West Midlands,West Mercia,7518.0
West Midlands,West Midlands,7481.0
East of England,Total East of England ,39362.0
East of England,Bedfordshire,3259.0
East of England,Cambridgeshire,4597.0
East of England,Essex,13551.0
East of England,Hertfordshire,10086.0
East of England,Norfolk,4877.0
East of England,Suffolk,2992.0
London,Total London ,131957.0
London,City of London,2228.0
London,Metropolitan,129729.0
South East,Total South East ,52928.0
South East,Hampshire,4266.0
South East,Kent,12745.0
South East,Surrey,5653.0
South East,Sussex,14546.0
South East,Thames Valley,15718.0
South West,Total South West ,28537.0
South West,Avon & Somerset,8739.0
South West,Devon & Cornwall,10206.0
South West,Dorset,6771.0
South West,Gloucestershire,881.0
South West,Wiltshire,1940.0
Wales,Total Wales,33089.0
Wales,Dyfed-Powys,3821.0
Wales,Gwent,6330.0
Wales,North Wales,1726.0
Wales,South Wales,21212.0
