Force/Region,September 2016,March 2017,September 2017
North East,5687.8200000000015,5715.12,5656.3099999999995
Cleveland,1299.06,1282.55,1273.53
Durham,1125.39,1143.99,1138.07
Northumbria,3263.3700000000017,3288.58,3244.7099999999996
North West,15699.28,15825.07,15667.779999999999
Cheshire,2010.37,2007.64,1988.36
Cumbria,1102.0,1111.5199999999998,1108.06
Greater Manchester,6238.68,6318.25,6236.88
Lancashire,2787.0,2849.6600000000003,2850.13
Merseyside,3561.230000000002,3537.9999999999995,3484.3499999999995
Yorkshire and the Humber,9904.295250000003,10221.710000000001,10283.92
Humberside,1542.0,1640.79,1665.46
North Yorkshire,1345.63,1377.5100000000002,1319.9
South Yorkshire,2460.31,2483.17,2472.11
West Yorkshire,4556.355250000003,4720.240000000001,4826.45
East Midlands,7676.53,7624.3324999999995,7630.7235
Derbyshire,1718.65,1710.1599999999999,1739.92
Leicestershire,1793.8,1802.3125,1772.14
Lincolnshire,1061.7,1086.9,1098.6235
Northamptonshire,1209.16,1187.75,1177.62
Nottinghamshire,1893.22,1837.21,1842.42
West Midlands,11437.31,11272.029999999999,10970.560000000009
Staffordshire,1611.31,1625.5400000000002,1595.24
Warwickshire,853.0,835.17,823.4499999999998
West Mercia,2093.0,2055.3599999999997,2017.3700000000003
West Midlands,6880.0,6755.96,6534.500000000008
Eastern,9744.50814991167,9852.3907,9881.191050243899
Bedfordshire,1067.19,1119.0900000000001,1136.46
Cambridgeshire,1339.1,1345.6799999999998,1332.0
Essex,2805.6414,2818.5907,2857.1908
Hertfordshire,1908.91,1952.39,1940.09
Norfolk,1505.08974991167,1515.0800000000002,1519.4612502439
Suffolk,1118.577,1101.56,1095.989
London,32469.395099999987,32201.780000000002,31547.22
City of London,687.53,684.49,676.0
Metropolitan,31781.865099999988,31517.29,30871.22
South East,14755.4228,14823.8298,14753.075949999999
Hampshire,2898.0,2895.68,2861.13
Kent,3192.7353,3258.7297999999996,3254.6872
Surrey,1895.54,1986.37,2009.31
Sussex,2569.0975,2587.0899999999997,2550.49875
Thames Valley,4200.05,4095.96,4077.45
South West,8859.35,8918.9315,8848.36
Avon & Somerset,2683.89,2667.31,2629.72
Devon & Cornwall,2912.7,2914.21,2921.47
Dorset,1219.62,1265.96,1276.17
Gloucestershire,1067.0,1088.6315000000002,1055.0
Wiltshire,976.14,982.8199999999999,966.0
Wales,6625.101999999999,6686.84,6689.83625
Dyfed-Powys,1170.96,1159.8400000000001,1158.82
Gwent,1162.24,1177.8,1153.73
North Wales,1442.1819999999996,1441.4099999999999,1487.1562499999995
South Wales,2849.72,2907.79,2890.13
Total 43 forces,122859.01329991166,123142.03450000001,121928.9767502439
Central Service Secondments,433.5,360.5,406.88
British Transport Police,2959.17,2678.4999999999995,3028.2
