date,geography,Rural Urban,Ethnic Group: All categories: Ethnic group; measures: Value,Ethnic Group: White; measures: Value,Ethnic Group: White: English/Welsh/Scottish/Northern Irish/British; measures: Value,Ethnic Group: White: Irish; measures: Value,Ethnic Group: White: Gypsy or Irish Traveller; measures: Value,Ethnic Group: White: Other White; measures: Value,Ethnic Group: Mixed; measures: Value,Ethnic Group: Mixed/multiple ethnic group: White and Black Caribbean; measures: Value,Ethnic Group: Mixed/multiple ethnic group: White and Black African; measures: Value,Ethnic Group: Mixed/multiple ethnic group: White and Asian; measures: Value,Ethnic Group: Mixed/multiple ethnic group: Other Mixed; measures: Value,Ethnic Group: Asian; measures: Value,Ethnic Group: Asian/Asian British: Indian; measures: Value,Ethnic Group: Asian/Asian British: Pakistani; measures: Value,Ethnic Group: Asian/Asian British: Bangladeshi; measures: Value,Ethnic Group: Asian/Asian British: Chinese; measures: Value,Ethnic Group: Asian/Asian British: Other Asian; measures: Value,Ethnic Group: Black; measures: Value,Ethnic Group: Black/African/Caribbean/Black British: African; measures: Value,Ethnic Group: Black/African/Caribbean/Black British: Caribbean; measures: Value,Ethnic Group: Black/African/Caribbean/Black British: Other Black; measures: Value,Ethnic Group: Other; measures: Value,Ethnic Group: Other ethnic group: Arab; measures: Value,Ethnic Group: Other ethnic group: Any other ethnic group; measures: Value,LAD16NM,CSP16CD,CSP16NM,PFA16CD,PFA16NM,FID
2011,Babergh,Total,87740,85845,83666,486,51,1642,827,306,92,216,213,666,180,9,65,161,251,264,133,89,42,138,10,128,Babergh,E22000373,Western Suffolk,E23000025,Suffolk,250
2011,Forest Heath,Total,59748,54907,46142,583,108,8074,1744,267,274,402,801,1263,300,135,96,105,627,1296,373,173,750,538,12,526,Forest Heath,E22000373,Western Suffolk,E23000025,Suffolk,253
2011,Ipswich,Total,133384,118596,110624,610,149,7213,4816,2579,655,637,945,5740,1801,242,1687,666,1344,3096,1025,1554,517,1136,151,985,Ipswich,E22000273,Ipswich,E23000025,Suffolk,258
2011,Mid Suffolk,Total,96731,94667,92747,345,76,1499,953,311,120,298,224,647,170,17,38,158,264,371,164,126,81,93,7,86,Mid Suffolk,E22000373,Western Suffolk,E23000025,Suffolk,264
2011,St Edmundsbury,Total,111008,106615,101239,728,78,4570,1404,412,222,420,350,1824,599,123,126,298,678,902,452,259,191,263,74,189,St Edmundsbury,E22000373,Western Suffolk,E23000025,Suffolk,270
2011,Suffolk Coastal,Total,124298,119976,116655,585,51,2685,1513,471,222,473,347,2032,769,115,145,463,540,556,269,208,79,221,57,164,Suffolk Coastal,E22000274,Suffolk Coastal,E23000025,Suffolk,276
2011,Waveney,Total,115254,112589,110385,407,91,1706,1215,387,200,341,287,959,180,56,96,308,319,369,208,100,61,122,9,113,Waveney,E22000278,Waveney,E23000025,Suffolk,282
2011,Camden,Total,220338,146055,96937,7053,167,41898,12322,2494,1800,3880,4148,35446,6083,1489,12503,6493,8878,18060,10802,3496,3762,8455,3432,5023,Camden,E22000191,Camden,E23000001,Metropolitan,56
2011,City of London,Total,7375,5799,4243,180,3,1373,289,38,37,111,103,940,216,16,232,263,213,193,98,46,49,154,69,85,City of London,E22000180,City of London,E23000034,City of London,22
2011,Hackney,Total,246270,134617,89030,5216,474,39897,15869,4989,2866,3020,4994,25867,7599,1905,6180,3436,6747,56858,27976,19168,9714,13059,1721,11338,Hackney,E22000197,Hackney,E23000001,Metropolitan,86
2011,Hammersmith and Fulham,Total,182493,124222,81989,6321,217,35695,10044,2769,1495,2649,3131,16635,3451,1612,1056,3140,7376,21505,10552,7111,3842,10087,5228,4859,Hammersmith and Fulham,E22000198,Hammersmith and Fulham,E23000001,Metropolitan,91
2011,Haringey,Total,254926,154343,88424,6997,370,58552,16548,4856,2609,3738,5345,24150,5945,1920,4417,3744,8124,47830,23037,18087,6706,12055,2229,9826,Haringey,E22000199,Haringey,E23000001,Metropolitan,98
2011,Islington,Total,206125,140515,98322,8140,163,33890,13339,4236,1912,2964,4227,19034,3534,951,4662,4457,5430,26294,12622,7943,5729,6943,1893,5050,Islington,E22000204,Islington,E23000001,Metropolitan,121
2011,Kensington and Chelsea,Total,158649,112017,62271,3715,119,45912,8986,1695,1148,3021,3122,15861,2577,911,836,3968,7569,10333,5536,3257,1540,11452,6455,4997,Kensington and Chelsea,E22000205,Kensington and Chelsea,E23000001,Metropolitan,127
2011,Lambeth,Total,303086,173025,118250,7456,195,47124,23160,8302,4301,3574,6983,20938,4983,3072,2221,4573,6089,78542,35187,28886,14469,7421,1728,5693,Lambeth,E22000207,Lambeth,E23000001,Metropolitan,139
2011,Lewisham,Total,275885,147686,114446,5206,208,27826,20472,8539,3559,3045,5329,25534,4600,1596,1388,6164,11786,74942,32025,30854,12063,7251,1456,5795,Lewisham,E22000208,Lewisham,E23000001,Metropolitan,144
2011,Newham,Total,307984,89216,51516,2172,462,35066,13945,3957,3319,2677,3992,133895,42484,30307,37262,3930,19912,60256,37811,15050,7395,10672,3523,7149,Newham,E22000210,Newham,E23000001,Metropolitan,155
2011,Southwark,Total,288283,156349,114534,6222,263,35330,17778,5677,3687,3003,5411,27192,5819,1623,3912,8074,7764,77511,47413,17974,12124,9453,2440,7013,Southwark,E22000213,Southwark,E23000001,Metropolitan,170
2011,Tower Hamlets,Total,254096,114819,79231,3863,175,31550,10360,2837,1509,2961,3053,104501,6787,2442,81377,8109,5786,18629,9495,5341,3793,5787,2573,3214,Tower Hamlets,E22000215,Tower Hamlets,E23000001,Metropolitan,179
2011,Wandsworth,Total,306995,219216,163739,7664,163,47650,15241,4642,2034,3887,4678,33338,8642,9718,1493,3715,9770,32756,14818,12297,5641,6444,2350,4094,Wandsworth,E22000217,Wandsworth,E23000001,Metropolitan,191
2011,Westminster,Total,219396,135330,77334,4960,76,52960,11395,1869,1927,3584,4015,31862,7213,2328,6299,5917,10105,16472,9141,4449,2882,24337,15724,8613,Westminster,E22000192,Westminster,E23000001,Metropolitan,197
2011,Barking and Dagenham,Total,185911,108386,91949,1730,182,14525,7878,2669,2128,1246,1835,29594,7436,8007,7701,1315,5135,37140,28685,5227,3228,2913,973,1940,Barking and Dagenham,E22000186,Barking and Dagenham,E23000001,Metropolitan,27
2011,Barnet,Total,356386,228553,162117,8685,151,57600,17169,3097,3112,5882,5078,65918,27920,5344,2215,8259,22180,27431,19392,4468,3571,17315,5210,12105,Barnet,E22000187,Barnet,E23000001,Metropolitan,31
2011,Bexley,Total,231997,189962,179250,2596,624,7492,5395,1676,983,1369,1367,15243,7047,730,777,2514,4175,19624,15952,2381,1291,1773,303,1470,Bexley,E22000188,Bexley,E23000001,Metropolitan,37
2011,Brent,Total,311215,112880,55887,12320,320,44353,15775,4291,2820,3642,5022,105986,58017,14381,1749,3250,28589,58632,24391,23723,10518,17942,11430,6512,Brent,E22000189,Brent,E23000001,Metropolitan,44
2011,Bromley,Total,309392,260870,239478,4463,580,16349,10897,3897,1335,3016,2649,16067,6215,1014,1265,2768,4805,18686,9819,6609,2258,2872,870,2002,Bromley,E22000190,Bromley,E23000001,Metropolitan,50
2011,Croydon,Total,363378,200195,171740,5369,234,22852,23895,9650,3279,5140,5826,59627,24660,10865,2570,3925,17607,73256,28981,31320,12955,6405,1701,4704,Croydon,E22000193,Croydon,E23000001,Metropolitan,62
2011,Ealing,Total,338449,165818,103035,10428,300,52055,15066,3939,1989,4653,4485,100439,48240,14711,1786,4132,31570,36860,17299,13192,6369,20266,9804,10462,Ealing,E22000194,Ealing,E23000001,Metropolitan,68
2011,Enfield,Total,312466,190640,126450,6899,344,56947,17183,4852,2384,4189,5758,34893,11648,2594,5599,2588,12464,53687,28222,17334,8131,16063,1930,14133,Enfield,E22000195,Enfield,E23000001,Metropolitan,74
2011,Greenwich,Total,254557,159002,133130,4291,430,21151,12274,4011,2699,2361,3203,29894,7836,2594,1645,5061,12758,48655,35164,8051,5440,4732,1069,3663,Greenwich,E22000196,Greenwich,E23000001,Metropolitan,80
