Police Force,Tactic,variable,value
Devon & Cornwall,CED,Chinese,1.0
Dorset,CED,Chinese,0.0
Durham,CED,Chinese,2.0
Dyfed-Powys,CED,Chinese,1.0
Essex,CED,Chinese,0.0
Gloucestershire,CED,Chinese,0.0
Greater Manchester,CED,Chinese,2.0
Gwent,CED,Chinese,1.0
Hampshire,CED,Chinese,0.0
Hertfordshire,CED,Chinese,0.0
Humberside,CED,Chinese,1.0
Kent,CED,Chinese,0.0
Lancashire,CED,Chinese,0.0
Leicestershire,CED,Chinese,1.0
Lincolnshire,CED,Chinese,0.0
Merseyside,CED,Chinese,0.0
Metropolitan,CED,Chinese,27.0
Norfolk,CED,Chinese,0.0
North Wales,CED,Chinese,0.0
North Yorkshire,CED,Chinese,0.0
Northamptonshire,CED,Chinese,0.0
Northumbria,CED,Chinese,0.0
Nottinghamshire,CED,Chinese,0.0
South Wales,CED,Chinese,0.0
South Yorkshire,CED,Chinese,0.0
Staffordshire,CED,Chinese,0.0
Suffolk,CED,Chinese,0.0
Surrey,CED,Chinese,1.0
Sussex,CED,Chinese,0.0
Thames Valley,CED,Chinese,0.0
Warwickshire,CED,Chinese,0.0
West Mercia,CED,Chinese,0.0
West Midlands,CED,Chinese,1.0
West Yorkshire,CED,Chinese,0.0
Wiltshire,CED,Chinese,0.0
Avon & Somerset,CED,Mixed,29.0
Bedfordshire,CED,Mixed,12.0
Cambridgeshire,CED,Mixed,5.0
Cheshire,CED,Mixed,5.0
City of London,CED,Mixed,0.0
Cleveland,CED,Mixed,1.0
Cumbria,CED,Mixed,0.0
Derbyshire,CED,Mixed,0.0
Devon & Cornwall,CED,Mixed,10.0
Dorset,CED,Mixed,0.0
Durham,CED,Mixed,0.0
Dyfed-Powys,CED,Mixed,0.0
Essex,CED,Mixed,13.0
Gloucestershire,CED,Mixed,6.0
Greater Manchester,CED,Mixed,48.0
Gwent,CED,Mixed,5.0
Hampshire,CED,Mixed,3.0
Hertfordshire,CED,Mixed,18.0
Humberside,CED,Mixed,6.0
Kent,CED,Mixed,11.0
Lancashire,CED,Mixed,5.0
Leicestershire,CED,Mixed,24.0
Lincolnshire,CED,Mixed,7.0
Merseyside,CED,Mixed,0.0
Metropolitan,CED,Mixed,214.0
Norfolk,CED,Mixed,0.0
North Wales,CED,Mixed,0.0
North Yorkshire,CED,Mixed,5.0
Northamptonshire,CED,Mixed,24.0
Northumbria,CED,Mixed,0.0
Nottinghamshire,CED,Mixed,9.0
South Wales,CED,Mixed,26.0
South Yorkshire,CED,Mixed,7.0
Staffordshire,CED,Mixed,0.0
Suffolk,CED,Mixed,0.0
Surrey,CED,Mixed,5.0
Sussex,CED,Mixed,2.0
Thames Valley,CED,Mixed,29.0
Warwickshire,CED,Mixed,0.0
West Mercia,CED,Mixed,0.0
West Midlands,CED,Mixed,45.0
West Yorkshire,CED,Mixed,28.0
Wiltshire,CED,Mixed,8.0
Avon & Somerset,CED,Other,8.0
Bedfordshire,CED,Other,9.0
Cambridgeshire,CED,Other,8.0
Cheshire,CED,Other,1.0
City of London,CED,Other,1.0
Cleveland,CED,Other,1.0
Cumbria,CED,Other,0.0
Derbyshire,CED,Other,1.0
Devon & Cornwall,CED,Other,7.0
Dorset,CED,Other,1.0
Durham,CED,Other,0.0
Dyfed-Powys,CED,Other,3.0
Essex,CED,Other,0.0
Gloucestershire,CED,Other,2.0
Greater Manchester,CED,Other,20.0
Gwent,CED,Other,2.0
Hampshire,CED,Other,0.0
Hertfordshire,CED,Other,4.0
Humberside,CED,Other,2.0
Kent,CED,Other,4.0
Lancashire,CED,Other,2.0
Leicestershire,CED,Other,4.0
Lincolnshire,CED,Other,0.0
Merseyside,CED,Other,4.0
Metropolitan,CED,Other,223.0
Norfolk,CED,Other,0.0
North Wales,CED,Other,0.0
North Yorkshire,CED,Other,0.0
Northamptonshire,CED,Other,2.0
Northumbria,CED,Other,0.0
Nottinghamshire,CED,Other,0.0
South Wales,CED,Other,6.0
South Yorkshire,CED,Other,6.0
Staffordshire,CED,Other,0.0
Suffolk,CED,Other,0.0
Surrey,CED,Other,6.0
Sussex,CED,Other,0.0
Thames Valley,CED,Other,14.0
Warwickshire,CED,Other,0.0
West Mercia,CED,Other,0.0
West Midlands,CED,Other,10.0
West Yorkshire,CED,Other,2.0
Wiltshire,CED,Other,4.0
Avon & Somerset,CED,Don't know,7.0
Bedfordshire,CED,Don't know,3.0
Cambridgeshire,CED,Don't know,3.0
Cheshire,CED,Don't know,91.0
City of London,CED,Don't know,1.0
Cleveland,CED,Don't know,3.0
Cumbria,CED,Don't know,6.0
Derbyshire,CED,Don't know,4.0
Devon & Cornwall,CED,Don't know,13.0
Dorset,CED,Don't know,44.0
Durham,CED,Don't know,3.0
Dyfed-Powys,CED,Don't know,18.0
Essex,CED,Don't know,1.0
Gloucestershire,CED,Don't know,1.0
Greater Manchester,CED,Don't know,18.0
Gwent,CED,Don't know,4.0
Hampshire,CED,Don't know,14.0
Hertfordshire,CED,Don't know,4.0
Humberside,CED,Don't know,4.0
Kent,CED,Don't know,6.0
Lancashire,CED,Don't know,1.0
Leicestershire,CED,Don't know,10.0
Lincolnshire,CED,Don't know,7.0
Merseyside,CED,Don't know,8.0
Metropolitan,CED,Don't know,115.0
Norfolk,CED,Don't know,0.0
North Wales,CED,Don't know,2.0
North Yorkshire,CED,Don't know,0.0
Northamptonshire,CED,Don't know,3.0
Northumbria,CED,Don't know,0.0
Nottinghamshire,CED,Don't know,1.0
South Wales,CED,Don't know,1.0
South Yorkshire,CED,Don't know,6.0
Staffordshire,CED,Don't know,0.0
Suffolk,CED,Don't know,0.0
Surrey,CED,Don't know,24.0
Sussex,CED,Don't know,175.0
Thames Valley,CED,Don't know,5.0
Warwickshire,CED,Don't know,0.0
West Mercia,CED,Don't know,0.0
West Midlands,CED,Don't know,2.0
West Yorkshire,CED,Don't know,3.0
Wiltshire,CED,Don't know,3.0
Avon & Somerset,CED,Not reported,13.0
Bedfordshire,CED,Not reported,4.0
Cambridgeshire,CED,Not reported,1.0
Cheshire,CED,Not reported,0.0
City of London,CED,Not reported,0.0
Cleveland,CED,Not reported,0.0
Cumbria,CED,Not reported,0.0
Derbyshire,CED,Not reported,0.0
Devon & Cornwall,CED,Not reported,0.0
Dorset,CED,Not reported,0.0
Durham,CED,Not reported,0.0
Dyfed-Powys,CED,Not reported,0.0
Essex,CED,Not reported,0.0
Gloucestershire,CED,Not reported,0.0
Greater Manchester,CED,Not reported,0.0
Gwent,CED,Not reported,0.0
Hampshire,CED,Not reported,0.0
Hertfordshire,CED,Not reported,3.0
Humberside,CED,Not reported,0.0
Kent,CED,Not reported,0.0
Lancashire,CED,Not reported,2.0
Leicestershire,CED,Not reported,0.0
Lincolnshire,CED,Not reported,0.0
Merseyside,CED,Not reported,0.0
Metropolitan,CED,Not reported,0.0
Norfolk,CED,Not reported,0.0
North Wales,CED,Not reported,0.0
North Yorkshire,CED,Not reported,0.0
Northamptonshire,CED,Not reported,0.0
Northumbria,CED,Not reported,0.0
Nottinghamshire,CED,Not reported,0.0
South Wales,CED,Not reported,0.0
South Yorkshire,CED,Not reported,0.0
Staffordshire,CED,Not reported,0.0
Suffolk,CED,Not reported,0.0
Surrey,CED,Not reported,0.0
Sussex,CED,Not reported,0.0
Thames Valley,CED,Not reported,0.0
Warwickshire,CED,Not reported,0.0
West Mercia,CED,Not reported,0.0
West Midlands,CED,Not reported,0.0
West Yorkshire,CED,Not reported,10.0
Wiltshire,CED,Not reported,23.0
